epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8011.6,1.81447,1.41166,1.72052,0.46935,0.37899,0.28799,0.10699,2.20808,1.94237,1.70033,0.00333125,0.00333125,0.0700187
2,14683.4,1.47218,1.01047,1.41316,0.6059,0.45547,0.46307,0.17947,2.08351,1.50957,1.62691,0.00666296,0.00666296,0.0400171
3,21754.3,1.40752,0.91502,1.37428,0.57394,0.44946,0.43997,0.18229,2.02203,1.55077,1.54675,0.00998815,0.00998815,0.010009
4,29327.4,1.36662,0.85093,1.34129,0.67262,0.54228,0.57433,0.24127,1.90892,1.32043,1.50644,0.00997803,0.00997803,0.00997803
